region,buildings,energy,industry,transport,agriculture,utcuts,total,pbi,pbiShare
Africa,219.3672753,1176.521181,650.7189865,395.7926585,875.5985644,1274.527725,4592.526391,6307029.082,5.035380363
East Asia,738.3018562,6812.334686,5771.491328,1169.131206,961.0650033,166.7680103,15619.09209,24359662.43,19.44816971
Middle East,169.168592,1731.809159,796.1429155,433.3918946,77.57331612,2.37910848,3210.464986,5259672.727,4.199196339
Southeast Asia and Pacific,106.1584059,1141.462857,791.1134725,422.4522418,618.9476978,1634.99312,4715.127795,7765820.144,6.200044155
Eastern Europe and central-western Asia,303.4573039,1845.412388,872.6615782,365.1898127,285.8759697,57.01665205,3729.613705,6398524.945,5.108428478
Latin America and the Caribbean,112.7640855,784.1223703,957.5528487,626.6054086,1213.167203,1530.462009,5224.673925,9253185.211,7.38752079
Southern Asia,225.6370523,1522.888203,1318.661978,438.9725783,1179.716725,52.28890736,4738.165443,11415421.11,9.113798141
North America,668.5472623,2646.351884,1159.013996,2035.510133,515.5173419,51.5303128,7076.470929,22441037.69,17.91638565
"Australia, Japan and New Zealand",124.6762518,817.5824149,446.698348,327.1770118,208.714803,-29.56753957,1895.28129,6611341.031,5.278335571
Europe,640.6598916,1474.155468,1250.635288,1100.13413,543.51477,-153.8375223,4855.262025,25442578.83,20.31274414